Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10
Fold1   0.5983  0.6157  0.6456  0.6741  0.6992  0.7122  0.7170  0.6585  0.3347  0.3460  
Fold2   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold3   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold4   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold5   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
aver    0.1197  0.1231  0.1291  0.1348  0.1398  0.1424  0.1434  0.1317  0.0669  0.0692  

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10
Fold1   0.5754  0.6156  0.6342  0.6646  0.6795  0.6966  0.7036  0.6554  0.2962  0.3010  
Fold2   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold3   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold4   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold5   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
aver    0.1151  0.1231  0.1268  0.1329  0.1359  0.1393  0.1407  0.1311  0.0592  0.0602  

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10
Fold1   0.5690  0.6062  0.6301  0.6484  0.6725  0.6879  0.6957  0.6512  0.2825  0.2873  
Fold2   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold3   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold4   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
Fold5   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  
aver    0.1138  0.1212  0.1260  0.1297  0.1345  0.1376  0.1391  0.1302  0.0565  0.0575  

