Object,qid,feature 1,feature 2,Score,Rank
1,1,0,0.623,3.738,402
2,1,1,0.224,-1.656,1777
3,1,1,0.05,-2.7,1949
4,1,1,0.363,-0.822,1627
5,1,1,0.553,0.318,1376
6,1,1,0.257,-1.458,1742
7,1,0,0.456,2.736,594
8,1,0,0.49,2.94,528
9,1,0,0.341,2.046,800
10,1,0,0.626,3.756,399
11,1,1,0.735,1.41,998
12,1,0,0.713,4.278,302
13,1,1,0.408,-0.552,1580
14,1,0,0.211,1.266,1046
15,1,0,0.034,0.204,1422
16,1,0,0.168,1.008,1139
17,1,0,0.27,1.62,934
18,1,1,0.9,2.4,692
19,1,0,0.607,3.642,419
20,1,0,0.833,4.998,184
21,1,1,0.196,-1.824,1810
22,1,0,0.178,1.068,1111
23,1,1,0.839,2.034,806
24,1,1,0.971,2.826,569
25,1,1,0.128,-2.232,1867
26,1,1,0.799,1.794,885
27,1,0,0.244,1.464,978
28,1,0,0.876,5.256,150
29,1,1,0.443,-0.342,1549
30,1,0,0.071,0.426,1339
31,1,1,0.673,1.038,1125
32,1,1,0.22,-1.68,1783
33,1,1,0.752,1.512,967
34,1,0,0.966,5.796,37
35,1,1,0.792,1.752,895
36,1,0,0.748,4.488,268
37,1,0,0.344,2.064,790
38,1,1,0.606,0.636,1270
39,1,0,0.567,3.402,448
40,1,0,0.266,1.596,939
41,1,0,0.298,1.788,887
42,1,1,0.963,2.778,579
43,1,1,0.037,-2.778,1967
44,1,1,0.676,1.056,1117
45,1,0,0.606,3.636,420
46,1,1,0.913,2.478,670
47,1,1,0.546,0.276,1393
48,1,1,0.047,-2.718,1953
49,1,0,0.202,1.212,1062
50,1,1,0.506,0.036,1474
51,1,0,0.421,2.526,655
52,1,0,0.395,2.37,697
53,1,0,0.472,2.832,564
54,1,0,0.062,0.372,1362
55,1,1,0.069,-2.586,1921
56,1,0,0.19,1.14,1087
57,1,0,0.408,2.448,683
58,1,0,0.042,0.252,1402
59,1,1,0.985,2.91,535
60,1,1,0.727,1.362,1012
61,1,1,0.49,-0.06,1497
62,1,1,0.456,-0.264,1535
63,1,0,0.417,2.502,666
64,1,0,0.937,5.622,83
65,1,0,0.401,2.406,691
66,1,1,0.63,0.78,1212
67,1,0,0.829,4.974,185
68,1,0,0.811,4.866,202
69,1,0,0.478,2.868,550
70,1,1,0.699,1.194,1063
71,1,0,0.571,3.426,444
72,1,0,0.49,2.94,528
73,1,1,0.512,0.072,1457
74,1,0,0.725,4.35,294
75,1,1,0.486,-0.084,1500
76,1,1,0.036,-2.784,1970
77,1,0,0.805,4.83,210
78,1,1,0.923,2.538,651
79,1,0,0.587,3.522,431
80,1,0,0.267,1.602,937
81,1,0,0.816,4.896,194
82,1,1,0.916,2.496,667
83,1,0,0.342,2.052,795
84,1,1,0.254,-1.476,1747
85,1,0,0.598,3.588,426
86,1,0,0.511,3.066,501
87,1,1,0.589,0.534,1307
88,1,0,0.053,0.318,1379
89,1,1,0.487,-0.078,1499
90,1,0,0.263,1.578,946
91,1,1,0.806,1.836,868
92,1,0,0.26,1.56,950
93,1,0,0.984,5.904,19
94,1,0,0.052,0.312,1382
95,1,1,0.86,2.16,755
96,1,0,0.269,1.614,935
97,1,1,0.126,-2.244,1869
98,1,1,0.042,-2.748,1961
99,1,0,0.907,5.442,123
100,1,1,0.709,1.254,1051
101,1,0,0.107,0.642,1266
102,1,1,0.808,1.848,865
103,1,1,0.251,-1.494,1753
104,1,1,0.723,1.338,1022
105,1,0,0.094,0.564,1296
106,1,0,0.725,4.35,294
107,1,1,0.564,0.384,1358
108,1,0,0.963,5.778,42
109,1,0,0.149,0.894,1185
110,1,0,0.665,3.99,362
111,1,1,0.059,-2.646,1936
112,1,1,0.006,-2.964,1998
113,1,0,0.172,1.032,1128
114,1,0,0.391,2.346,702
115,1,1,0.696,1.176,1071
116,1,0,0.729,4.374,289
117,1,0,0.634,3.804,392
118,1,1,0.069,-2.586,1921
119,1,0,0.102,0.612,1285
120,1,1,0.453,-0.282,1537
121,1,0,0.378,2.268,717
122,1,0,0.994,5.964,8
123,1,1,0.518,0.108,1445
124,1,1,0.993,2.958,521
125,1,1,0.517,0.102,1447
126,1,1,0.415,-0.51,1569
127,1,0,0.178,1.068,1111
128,1,0,0.097,0.582,1293
129,1,1,0.467,-0.198,1518
130,1,1,0.757,1.542,958
131,1,1,0.212,-1.728,1791
132,1,1,0.139,-2.166,1855
133,1,1,0.141,-2.154,1852
134,1,0,0.369,2.214,741
135,1,0,0.426,2.556,640
136,1,1,0.228,-1.632,1774
137,1,1,0.508,0.048,1466
138,1,1,0.841,2.046,802
139,1,0,0.194,1.164,1078
140,1,1,0.437,-0.378,1555
141,1,0,0.257,1.542,955
142,1,0,0.34,2.04,804
143,1,1,0.735,1.41,998
144,1,0,0.118,0.708,1240
145,1,0,0.538,3.228,470
146,1,1,0.582,0.492,1320
147,1,1,0.248,-1.512,1758
148,1,1,0.731,1.386,1003
149,1,0,0.084,0.504,1316
150,1,1,0.286,-1.284,1707
151,1,0,0.943,5.658,73
152,1,1,0.012,-2.928,1990
153,1,1,0.623,0.738,1227
154,1,0,0.331,1.986,822
155,1,1,0.495,-0.03,1493
156,1,1,0.205,-1.77,1800
157,1,1,0.254,-1.476,1747
158,1,0,0.344,2.064,790
159,1,0,0.026,0.156,1435
160,1,0,0.795,4.77,224
161,1,1,0.677,1.062,1115
162,1,1,0.723,1.338,1022
163,1,0,0.906,5.436,124
164,1,1,0.253,-1.482,1750
165,1,1,0.379,-0.726,1611
166,1,1,0.683,1.098,1098
167,1,0,0.039,0.234,1408
168,1,0,0.63,3.78,397
169,1,0,0.219,1.314,1034
170,1,0,0.489,2.934,530
171,1,1,0.573,0.438,1331
172,1,0,0.917,5.502,109
173,1,1,0.57,0.42,1345
174,1,1,0.281,-1.314,1719
175,1,1,0.581,0.486,1322
176,1,0,0.706,4.236,310
177,1,0,0.623,3.738,402
178,1,1,0.987,2.922,533
179,1,0,0.683,4.098,336
180,1,0,0.373,2.238,730
181,1,0,0.852,5.112,165
182,1,1,0.607,0.642,1268
183,1,1,0.508,0.048,1466
184,1,0,0.75,4.5,266
185,1,1,0.535,0.21,1419
186,1,1,0.569,0.414,1348
187,1,1,0.51,0.06,1462
188,1,0,0.65,3.9,376
189,1,1,0.36,-0.84,1632
190,1,1,0.629,0.774,1217
191,1,0,0.167,1.002,1147
192,1,1,0.367,-0.798,1624
193,1,1,0.297,-1.218,1700
194,1,0,0.11,0.66,1263
195,1,0,0.044,0.264,1399
196,1,1,0.594,0.564,1296
197,1,0,0.529,3.174,481
198,1,0,0.163,0.978,1158
199,1,0,0.732,4.392,284
200,1,0,0.434,2.604,629
201,1,0,0.375,2.25,723
202,1,0,0.72,4.32,299
203,1,1,0.463,-0.222,1525
204,1,1,0.989,2.934,530
205,1,1,0.301,-1.194,1697
206,1,0,0.282,1.692,910
207,1,1,0.646,0.876,1189
208,1,1,0.636,0.816,1206
209,1,0,0.463,2.778,578
210,1,0,0.129,0.774,1217
211,1,0,0.3,1.8,884
212,1,1,0.693,1.158,1082
213,1,0,0.088,0.528,1308
214,1,0,0.056,0.336,1370
215,1,1,0.259,-1.446,1740
216,1,1,0.053,-2.682,1944
217,1,0,0.003,0.018,1482
218,1,1,0.976,2.856,554
219,1,1,0.13,-2.22,1865
220,1,0,0.07,0.42,1342
221,1,1,0.854,2.124,768
222,1,1,0.616,0.696,1246
223,1,0,0.219,1.314,1034
224,1,0,0.67,4.02,353
225,1,1,0.339,-0.966,1652
226,1,0,0.222,1.332,1027
227,1,0,0.06,0.36,1366
228,1,1,0.783,1.698,908
229,1,1,0.166,-2.004,1841
230,1,1,0.068,-2.592,1923
231,1,1,0.666,0.996,1149
232,1,1,0.404,-0.576,1582
233,1,1,0.191,-1.854,1815
234,1,1,0.453,-0.282,1537
235,1,1,0.18,-1.92,1825
236,1,0,0.249,1.494,974
237,1,0,0.65,3.9,376
238,1,1,0.18,-1.92,1825
239,1,0,0.281,1.686,911
240,1,0,0.012,0.072,1458
241,1,1,0.876,2.256,722
242,1,1,0.713,1.278,1042
243,1,1,0.179,-1.926,1828
244,1,0,0.254,1.524,961
245,1,1,0.939,2.634,619
246,1,0,0.218,1.308,1037
247,1,0,0.778,4.668,242
248,1,0,0.184,1.104,1092
249,1,1,0.42,-0.48,1566
250,1,0,0.431,2.586,635
251,1,0,0.449,2.694,611
252,1,1,0.474,-0.156,1511
253,1,1,0.288,-1.272,1703
254,1,0,0.118,0.708,1240
255,1,1,0.651,0.906,1182
256,1,0,0.495,2.97,518
257,1,0,0.508,3.048,506
258,1,1,0.925,2.55,643
259,1,0,0.067,0.402,1353
260,1,1,0.457,-0.258,1534
261,1,0,0.809,4.854,205
262,1,1,0.984,2.904,537
263,1,1,0.824,1.944,834
264,1,0,0.684,4.104,335
265,1,0,0.291,1.746,899
266,1,1,0.539,0.234,1408
267,1,0,0.891,5.346,135
268,1,0,0.88,5.28,144
269,1,0,0.672,4.032,350
270,1,0,0.788,4.728,231
271,1,1,0.842,2.052,796
272,1,1,0.79,1.74,901
273,1,1,0.368,-0.792,1623
274,1,1,0.735,1.41,998
275,1,1,0.286,-1.284,1707
276,1,1,0.363,-0.822,1627
277,1,1,0.167,-1.998,1840
278,1,0,0.076,0.456,1328
279,1,1,0.388,-0.672,1602
280,1,1,0.976,2.856,554
281,1,1,0.445,-0.33,1546
282,1,1,0.331,-1.014,1660
283,1,1,0.515,0.09,1452
284,1,0,0.837,5.022,180
285,1,1,0.028,-2.832,1982
286,1,1,0.459,-0.246,1529
287,1,1,0.889,2.334,706
288,1,0,0.88,5.28,144
289,1,0,0.302,1.812,880
290,1,0,0.322,1.932,842
291,1,1,0.308,-1.152,1693
292,1,1,0.275,-1.35,1723
293,1,0,0.946,5.676,69
294,1,1,0.863,2.178,749
295,1,1,0.833,1.998,818
296,1,0,0.077,0.462,1326
297,1,0,0.643,3.858,384
298,1,1,0.699,1.194,1063
299,1,1,0.697,1.182,1069
300,1,0,0.485,2.91,535
301,1,0,0.052,0.312,1382
302,1,0,0.914,5.484,112
303,1,0,0.718,4.308,301
304,1,0,0.817,4.902,192
305,1,0,0.12,0.72,1235
306,1,1,0.449,-0.306,1541
307,1,0,0.532,3.192,477
308,1,0,0.156,0.936,1171
309,1,0,0.322,1.932,842
310,1,1,0.785,1.71,906
311,1,1,0.654,0.924,1178
312,1,1,0.136,-2.184,1860
313,1,0,0.858,5.148,163
314,1,1,0.054,-2.676,1942
315,1,0,0.203,1.218,1061
316,1,0,0.69,4.14,328
317,1,1,0.872,2.232,736
318,1,0,0.681,4.086,337
319,1,0,0.788,4.728,231
320,1,1,0.718,1.308,1038
321,1,0,0.814,4.884,198
322,1,1,0.486,-0.084,1500
323,1,1,0.033,-2.802,1975
324,1,1,0.86,2.16,755
325,1,1,0.991,2.946,525
326,1,1,0.742,1.452,984
327,1,1,0.209,-1.746,1795
328,1,0,0.227,1.362,1012
329,1,1,0.529,0.174,1428
330,1,1,0.209,-1.746,1795
331,1,0,0.315,1.89,853
332,1,0,0.472,2.832,564
333,1,1,0.123,-2.262,1875
334,1,0,0.061,0.366,1364
335,1,0,0.07,0.42,1342
336,1,1,0.413,-0.522,1573
337,1,1,0.373,-0.762,1618
338,1,0,0.572,3.432,443
339,1,1,0.344,-0.936,1647
340,1,1,0.341,-0.954,1649
341,1,1,0.634,0.804,1208
342,1,0,0.027,0.162,1431
343,1,0,0.066,0.396,1355
344,1,1,0.795,1.77,890
345,1,0,0.939,5.634,79
346,1,1,0.956,2.736,595
