Object,qid,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,Score,Rank
1,1,0,0.623,0.199,0.458,0.711,0.057,0.125,0.597,0.677,1,0.623,0.45,0.701,0.541,0.489,3.0875,7085
2,1,1,0.224,0.19,0.783,0.716,0.823,0.058,0.549,0.529,1,0.832,0.252,0.875,0.612,0.32,5.088,5146
3,1,1,0.05,0.036,0.745,0.575,0.714,0.688,0.617,0.647,0,0.665,0.535,0.68,0.462,0.3,5.0105,5218
4,1,1,0.363,0.032,0.112,0.828,0.357,0.152,0.699,0.918,0,0.029,0.251,0.928,0.323,0.06,-0.451,9329
5,1,1,0.553,0.336,0.967,0.327,0.801,0.527,0.463,0.303,1,0.837,0.805,0.591,0.108,0.159,6.1485,4039
6,1,1,0.257,0.35,0.063,0.401,0.225,0.652,0.522,0.265,1,0.255,0.817,0.818,0.339,0.953,5.3215,4888
7,1,0,0.456,0.98,0.94,0.713,0.175,0.574,0.59,0.619,0,0.293,0.666,0.623,0.151,0.409,6.577,3613
8,1,0,0.49,0.22,0.749,0.32,0.95,0.383,0.385,0.337,1,0.708,0.328,0.568,0.665,0.065,6.1585,4030
9,1,0,0.341,0.465,0.261,0.742,0.011,0.74,0.29,0.449,1,0.581,0.92,0.875,0.852,0.111,6.0505,4136
10,1,0,0.626,0.152,0.221,0.13,0.166,0.87,0.588,0.236,0,0.291,0.376,0.425,0.756,0.278,5.5825,4615
11,1,1,0.735,0.419,0.163,0.226,0.992,0.73,0.804,0.241,0,0.951,0.022,0.151,0.931,0.556,6.648,3540
12,1,0,0.713,0.195,0.816,0.266,0.344,0.679,0.093,0.573,0,0.254,0.9,0.281,0.961,0.141,3.204,6983
13,1,1,0.408,0.486,0.236,0.518,0.02,0.539,0.995,0.959,0,0.483,0.695,0.315,0.783,0.437,-0.315,9280
14,1,0,0.211,0.116,0.946,0.206,0.487,0.586,0.74,0.008,1,0.523,0.607,0.027,0.617,0.708,8.709,1800
15,1,0,0.034,0.163,0.183,0.987,0.57,0.503,0.431,0.611,0,0.744,0.53,0.631,0.562,0.918,4.74,5500
16,1,0,0.168,0.552,0.086,0.278,0.25,0.652,0.521,0.247,1,0.531,0.879,0.531,0.982,0.657,4.155,6075
17,1,0,0.27,0.523,0.457,0.141,0.735,0.193,0.699,0.572,1,0.129,0.577,0.83,0.934,0.572,1.0845,8604
18,1,1,0.9,0.244,0.844,0.279,0.024,0.472,0.561,0.473,1,0.648,0.206,0.429,0.762,0.979,8.4295,1994
19,1,0,0.607,0.966,0.719,0.018,0.848,0.317,0.694,0.559,0,0.493,0.305,0.661,0.509,0.718,2.588,7536
20,1,0,0.833,0.452,0.007,0.538,0.823,0.786,0.769,0.406,1,0.419,0.757,0.598,0.634,0.447,5.7515,4435
21,1,1,0.196,0.137,0.572,0.512,0.265,0.207,0.778,0.361,0,0.772,0.706,0.504,0.263,0.855,1.5225,8332
22,1,0,0.178,0.987,0.03,0.895,0.768,0.432,0.918,0.834,0,0.628,0.691,0.612,0.881,0.33,0.765,8792
23,1,1,0.839,0.358,0.774,0.462,0.126,0.158,0.888,0.028,0,0.869,0.947,0.236,0.109,0.118,1.427,8404
24,1,1,0.971,0.981,0.703,0.136,0.599,0.705,0.849,0.743,0,0.093,0.681,0.014,0.904,0.6,3.483,6741
25,1,1,0.128,0.628,0.613,0.638,0.987,0.631,0.828,0.164,1,0.863,0.783,0.938,0.723,0.478,8.1045,2259
26,1,1,0.799,0.261,0.63,0.992,0.505,0.662,0.699,0.753,0,0.62,0.396,0.784,0.899,0.641,7.644,2654
27,1,0,0.244,0.043,0.296,0.162,0.054,1,0.868,0.285,0,0.695,0.463,0.887,0.227,0.051,5.28,4942
28,1,0,0.876,0.752,0.675,0.019,0.705,0.029,0.227,0.518,0,0.42,0.973,0.292,0.309,0.231,-3.3285,9911
29,1,1,0.443,0.664,0.652,0.723,0.028,0.807,0.85,0.793,0,0.761,0.036,0.053,0.749,0.269,8.5925,1878
30,1,0,0.071,0.161,0.805,0.632,0.013,0.896,0.655,0.998,0,0.352,0.522,0.818,0.083,0.874,6.6245,3570
31,1,1,0.673,0.02,0.307,0.208,0.351,0.711,0.973,0.265,1,0.494,0.849,0.01,0.082,0.167,3.773,6465
32,1,1,0.22,0.409,0.175,0.116,0.995,0.458,0.645,0.85,1,0.217,0.029,0.982,0.354,0.211,2.631,7491
33,1,1,0.752,0.341,0.644,0.344,0.688,0.45,0.346,0.126,1,0.178,0.834,0.998,0.359,0.768,6.53,3655
34,1,0,0.966,1,0.788,0.903,0.087,0.815,0.103,0.397,1,0.572,0.861,0.851,0.066,0.779,12.1595,330
35,1,1,0.792,0.552,0.116,0.956,0.493,0.679,0.918,0.174,0,0.203,0.501,0.962,0.123,0.363,7.774,2555
36,1,0,0.748,0.771,0.553,0.762,0.218,0.24,0.367,0.972,0,0.464,0.273,0.021,0.005,0.312,2.731,7409
37,1,0,0.344,0.977,0.719,0.049,0.567,0.77,0.71,0.84,1,0.846,0.13,0.075,0.171,0.315,6.9195,3275
38,1,1,0.606,0.773,0.015,0.522,0.811,0.017,0.276,0.728,0,0.388,0.999,0.095,0.676,0.029,-5.1795,9993
39,1,0,0.567,0.032,0.466,0.891,0.847,0.534,0.74,0.93,0,0.076,0.895,0.282,0.668,0.081,1.125,8582
40,1,0,0.266,0.75,0.031,0.479,0.315,0.067,0.917,0.945,1,0.226,0.169,0.09,0.047,0.953,0.7675,8789
