Object,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,Score,Rank
1,0,0.623,0.63,0.03946,0.973333333,0,0.146,0,0.6945,0.55,0.345,0.9204,0,0.8,0.231079,-2.151483333,69
2,1,0.224,1,0.60047,0.796666667,1,0.014,1,0.69,0.55,0.085,0.4709,1,0.548,0.253313,9.427383333,1
3,1,0.05,0.6,0.31578,0.773333333,0,0.044,0,0.921,1,0.48,0.3019,0,0.642,0.626355,-4.309463333,87
4,1,0.363,0.97,0.14425,0.91,0,0.15,0,0.742,0.75,0.39,0.4545,0,0.518,0.835588,-4.07638,85
5,1,0.553,0.74,0.06789,0.676666667,0,0.192,0,0.8485,0.25,0.04,0.1734,0,0.4,0.791861,-2.787916667,75
6,1,0.257,0.63,0.50419,0.98,1,0.11,1,0.9615,0.3,0.34,0.819,1,0.664,0.666062,2.90314,31
7,0,0.456,0.79,0.07911,0.88,1,0.2,1,0.528,0.7,0.04,0.2018,1,0.524,0.280677,7.18627,6
8,0,0.49,0.07,0.48298,0.813333333,0,0.106,0,0.975,0.4,0.325,0.1749,0,0.542,0.614473,-3.240843333,77
9,0,0.341,0.12,0.69833,0.956666667,1,0.124,1,0.7255,0.7,0.135,0.7421,1,0.784,0.974384,-2.241486667,72
10,0,0.626,0.47,0.20667,0.736666667,1,0.118,1,0.893,0.55,0.415,0.9343,1,0.802,0.525006,-0.270946667,53
11,1,0.735,0.68,0.25198,0.89,1,0.158,1,0.508,0.65,0.03,0.879,1,0.726,0.721106,1.77986,37
12,0,0.713,0.89,0.16018,0.816666667,1,0.122,1,0.6505,0.15,0.465,0.2857,1,0.934,0.455082,3.662133333,27
13,1,0.408,0.31,0.32988,0.75,0,0.056,0,0.7005,0.85,0.195,0.247,0,0.524,0.786053,-4.64601,89
14,0,0.211,0.81,0.36856,0.866666667,0,0.098,0,0.797,0.95,0.03,0.6725,0,0.404,0.510651,-1.494436667,60
15,0,0.034,0.23,0.36638,0.723333333,1,0.132,1,0.55,0.35,0.49,0.0811,1,0.996,0.734777,-2.060883333,68
16,0,0.168,0.02,0.92494,0.896666667,1,0.124,1,0.888,0.75,0.145,0.2161,1,0.802,0.286141,6.019383333,10
17,0,0.27,0.12,0.66441,0.75,1,0.1,1,0.7,0.9,0.115,0.548,1,0.408,0.786066,0.63298,42
18,1,0.9,0.58,0.98856,0.783333333,0,0.12,0,0.778,0.65,0.42,0.3201,0,0.984,0.719234,-2.151733333,70
19,0,0.607,0.5,0.00678,0.966666667,0,0.088,0,0.591,0.45,0.32,0.3069,0,0.9,0.505907,-3.995316667,84
20,0,0.833,0.7,0.21984,0.99,1,0.024,1,0.952,0.7,0.09,0.6186,1,0.404,0.415477,6.68479,8
21,1,0.196,0.4,0.46065,0.696666667,1,0.134,1,0.956,0.4,0.04,0.6442,1,0.598,0.407725,4.438083333,23
22,0,0.178,0.93,0.10258,0.933333333,0,0.182,0,0.873,0.6,0.415,0.7479,0,0.404,0.09501,1.579186667,38
23,1,0.839,0.09,0.58922,0.77,1,0.056,1,0.735,0.7,0.445,0.3569,1,0.874,0.764513,0.47905,45
24,1,0.971,0.88,0.47989,0.866666667,0,0.144,0,0.618,0.2,0.355,0.3226,0,0.524,0.393897,3.398123333,28
25,1,0.128,0.17,0.13358,0.893333333,0,0.128,0,0.8005,0.25,0.44,0.444,0,0.576,0.624582,-4.820833333,91
26,1,0.799,0.91,0.20489,0.986666667,0,0.08,0,0.9185,0.4,0.355,0.1181,0,0.666,0.780616,-1.519566667,61
27,0,0.244,0.44,0.87852,0.923333333,0,0.158,0,0.5125,0.8,0.235,0.0549,0,0.888,0.136304,2.701006667,32
28,0,0.876,0.9,0.36115,0.743333333,1,0.096,1,0.568,0.05,0.2,0.3464,1,0.874,0.423579,5.518276667,13
29,1,0.443,0.75,0.74253,0.776666667,1,0.046,1,0.8385,0.65,0.385,0.4161,1,0.792,0.711149,3.249663333,29
30,0,0.071,0.84,0.337,0.866666667,0,0.092,0,0.7065,0.45,0.4,0.408,0,0.952,0.905357,-7.944236667,100
31,1,0.673,0.22,0.29894,0.786666667,1,0.028,1,0.5115,0.7,0.145,0.1174,1,0.578,0.449083,5.412063333,15
32,1,0.22,0.83,0.02668,0.74,0,0.198,0,0.7895,0.55,0.04,0.5891,0,0.626,0.913107,-6.92165,94
33,1,0.752,0.59,0.25815,0.706666667,1,0.01,1,0.687,0.95,0.42,0.6798,1,0.636,0.526938,2.561153333,33
34,0,0.966,0.15,0.06061,0.813333333,1,0.078,1,0.9175,0.2,0.425,0.1211,1,0.84,0.862552,-1.547713333,62
35,1,0.792,0.32,0.95225,0.896666667,1,0.102,1,0.9335,0.85,0.48,0.4032,1,0.64,0.374108,7.875653333,5
36,0,0.748,0.29,0.98842,0.89,1,0.114,1,0.767,0.55,0.46,0.7517,1,0.832,0.374031,5.14427,19
37,0,0.344,0.19,0.19309,0.753333333,0,0.064,0,0.6885,0.25,0.14,0.851,0,0.412,0.476949,-4.115463333,86
38,1,0.606,0.33,0.08798,0.846666667,0,0.132,0,0.659,0.9,0.33,0.677,0,0.618,0.400725,-2.900996667,76
39,0,0.567,0.56,0.65185,1,0,0.104,0,0.8305,0.35,0.055,0.126,0,0.41,0.838567,-0.85227,55
40,0,0.266,0.31,0.43864,0.966666667,0,0.036,0,0.9355,0.95,0.305,0.8881,0,0.558,0.088188,0.153713333,49
41,0,0.298,0.34,0.51876,0.83,1,0.058,1,0.8515,0.95,0.25,0.9931,1,0.956,0.45802,0.05154,52
42,1,0.963,0.13,0.97619,0.946666667,0,0.114,0,0.6135,0.65,0.31,0.1361,0,0.468,0.774118,0.194613333,48
43,1,0.037,0.58,0.3215,0.86,0,0.172,0,0.629,0.75,0.445,0.6618,0,0.766,0.07926,0.152,50
44,1,0.676,0.82,0.73382,0.7,1,0.058,1,0.894,0.8,0.105,0.649,1,0.964,0.710811,2.36217,35
45,0,0.606,0.25,0.19631,0.72,1,0.154,1,0.8475,0.35,0.13,0.0118,1,0.722,0.999844,-1.9066,66
46,1,0.913,0.33,0.24502,0.88,0,0.036,0,0.9675,0.25,0.255,0.1584,0,0.73,0.045655,3.85433,25
47,1,0.546,0.14,0.93434,0.696666667,1,0.144,1,0.615,0.65,0.33,0.3024,1,0.534,0.235693,8.488563333,4
48,1,0.047,0.46,0.45134,0.96,1,0.01,1,0.6915,0.7,0.415,0.1431,1,0.634,0.762083,2.32923,36
49,0,0.202,0.47,0.91146,0.75,1,0.022,1,0.5495,0.6,0.345,0.5749,1,0.448,0.57598,4.19534,24
50,1,0.506,0.03,0.97734,0.693333333,0,0.164,0,0.806,0.05,0.25,0.343,0,0.514,0.669894,-1.369913333,59
51,0,0.421,0.67,0.76805,0.803333333,0,0.148,0,0.7505,0.05,0.22,0.1755,0,0.794,0.822121,-3.266843333,78
52,0,0.395,0.1,0.06939,0.766666667,0,0.13,0,0.6765,1,0.355,0.2131,0,0.72,0.718264,-7.931046667,98
53,0,0.472,0.5,0.83936,1,0,0.058,0,0.587,0.9,0.185,0.8347,0,0.556,0.324413,1.00321,41
54,0,0.062,0.1,0.04589,0.82,0,0.058,0,0.878,0.95,0.44,0.6137,0,0.424,0.341059,-4.49413,88
55,1,0.069,0.27,0.44067,0.926666667,0,0.122,0,0.932,0.8,0.335,0.6247,0,0.544,0.961669,-7.336776667,97
56,0,0.19,0.7,0.07321,0.953333333,0,0.094,0,0.7295,0.15,0.17,0.7239,0,0.718,0.92301,-7.942293333,99
57,0,0.408,0.26,0.03208,0.983333333,0,0.002,0,0.9405,0.35,0.3,0.4672,0,0.452,0.930164,-7.272253333,96
58,0,0.042,0.47,0.711,0.986666667,1,0.06,1,0.5355,0.65,0.38,0.1307,1,0.446,0.629559,4.943643333,21
59,1,0.985,0.45,0.73935,0.81,0,0.022,0,0.7305,0.3,0.41,0.137,0,0.626,0.853812,-1.87172,64
60,1,0.727,0.39,0.74292,0.883333333,0,0.076,0,0.542,0.45,0.25,0.2371,0,0.954,0.834905,-3.768003333,81
61,1,0.49,0.31,0.84609,0.986666667,1,0.168,1,0.5325,0.8,0.25,0.4523,1,0.866,0.786626,2.374533333,34
62,1,0.456,0.95,0.85701,0.783333333,0,0.118,0,0.8975,0.85,0.27,0.9949,0,0.452,0.035709,5.114916667,20
63,0,0.417,0.86,0.5595,0.7,1,0.182,1,0.991,0.4,0.36,0.2633,1,0.98,0.89518,-0.6097,54
64,0,0.937,0.31,0.35889,0.913333333,1,0.048,1,0.517,0.8,0.38,0.9242,1,0.738,0.156583,5.217796667,17
65,0,0.401,0.47,0.36236,0.72,1,0.126,1,0.8915,0.85,0.285,0.8414,1,0.548,0.60597,0.51754,44
66,1,0.63,0.16,0.80253,0.866666667,0,0.168,0,0.806,0.3,0.345,0.3107,0,0.44,0.950235,-3.340996667,79
67,0,0.829,0.67,0.08038,0.7,1,0.114,1,0.6,0.65,0.025,0.6455,1,0.596,0.249849,5.37453,16
68,0,0.811,0.53,0.18091,0.733333333,1,0.164,1,0.59,0.3,0.1,0.2717,1,0.506,0.063509,9.122116667,3
69,0,0.478,0.34,0.91971,0.986666667,0,0.198,0,0.616,0.55,0.155,0.254,0,0.428,0.135813,5.468043333,14
70,1,0.699,0.81,0.277,0.806666667,0,0.174,0,0.935,0.7,0.27,0.9749,0,0.478,0.740845,-3.993816667,83
71,0,0.571,0.35,0.48471,0.926666667,0,0.018,0,0.6005,0.1,0.105,0.5088,0,0.862,0.19934,0.624373333,43
72,0,0.49,0.57,0.42657,0.796666667,1,0.166,1,0.655,0.9,0.275,0.0568,1,0.54,0.42131,5.846113333,11
73,1,0.512,0.44,0.82869,0.666666667,1,0.064,1,0.9655,0.95,0.34,0.315,1,0.532,0.14276,9.329493333,2
74,0,0.725,0.03,0.91804,0.873333333,0,0.16,0,0.992,0.35,0.455,0.8207,0,0.566,0.895451,-5.927783333,93
75,1,0.486,0.25,0.2352,0.72,1,0.04,1,0.802,0.4,0.465,0.4348,1,0.914,0.569694,0.36146,47
76,1,0.036,0.87,0.05779,0.916666667,1,0.062,1,0.731,0.4,0.065,0.6514,1,0.914,0.122618,6.216113333,9
77,0,0.805,0.29,0.49292,0.83,0,0.056,0,0.5165,0.2,0.195,0.5249,0,0.628,0.290853,0.38845,46
78,1,0.923,0.74,0.04471,0.816666667,1,0.102,1,0.7835,0.5,0.38,0.0764,1,0.462,0.631775,5.211223333,18
79,0,0.587,1,0.18874,0.84,1,0.018,1,0.799,0.3,0.39,0.5778,1,0.912,0.48108,2.94476,30
80,0,0.267,0.57,0.604,0.706666667,1,0.054,1,0.9065,1,0.5,0.5533,1,0.912,0.851309,-2.539656667,73
81,0,0.816,0.28,0.97097,0.903333333,0,0.128,0,0.7995,0.25,0.2,0.3447,0,0.55,0.776656,-1.328113333,58
82,1,0.916,0.18,0.67369,0.873333333,0,0.198,0,0.883,0.4,0.19,0.6455,0,0.496,0.644445,-1.207523333,57
83,0,0.342,0.37,0.68784,0.896666667,1,0.196,1,0.828,0.9,0.155,0.2815,1,0.724,0.45063,4.847893333,22
84,1,0.254,0.53,0.33149,0.816666667,0,0.108,0,0.975,0.75,0.15,0.0911,0,0.962,0.334876,-0.974766667,56
85,0,0.598,0.22,0.48843,0.79,0,0.056,0,0.7535,0.8,0.38,0.3314,0,0.798,0.840887,-7.19335,95
86,0,0.511,0.34,0.44915,0.783333333,1,0.008,1,0.559,0.4,0.09,0.7332,1,0.732,0.171444,5.601226667,12
87,1,0.589,0.49,0.22194,0.776666667,1,0.098,1,0.685,0.9,0.405,0.3416,1,0.676,0.155928,6.745013333,7
88,0,0.053,0.34,0.50783,0.666666667,1,0.162,1,0.6935,0.9,0.28,0.4281,1,0.7,0.841252,-2.166166667,71
89,1,0.487,0.37,0.19901,0.676666667,0,0.076,0,0.994,0.7,0.365,0.3621,0,0.45,0.776234,-5.265266667,92
90,0,0.263,0.61,0.76575,0.856666667,1,0.198,1,0.6615,0.2,0.5,0.4967,1,0.702,0.801075,1.491483333,39
91,1,0.806,0.14,0.11792,0.976666667,0,0.186,0,0.6455,0.3,0.31,0.5228,0,0.464,0.630864,-2.730026667,74
92,0,0.26,0.39,0.06194,0.78,1,0.078,1,0.672,0.85,0.365,0.4441,1,0.436,0.862629,-1.88083,65
93,0,0.984,0.13,0.45897,0.833333333,1,0.176,1,0.7495,1,0.32,0.6478,1,0.724,0.700913,0.148016667,51
94,0,0.052,0.91,0.9308,0.883333333,0,0.162,0,0.931,0.7,0.19,0.3384,0,0.578,0.47069,1.281766667,40
95,1,0.86,0.38,0.08607,0.816666667,1,0.024,1,0.8945,0.75,0.425,0.6507,1,0.498,0.450683,3.738683333,26
96,0,0.269,0.47,0.32316,0.863333333,0,0.064,0,0.771,0.8,0.145,0.0135,0,0.518,0.74927,-3.655893333,80
97,1,0.126,0.2,0.84778,0.75,0,0.046,0,0.7985,0.15,0.16,0.3015,0,0.678,0.81509,-3.92228,82
98,1,0.042,0.15,0.09573,0.816666667,0,0.192,0,0.597,0.5,0.4,0.8896,0,0.792,0.28465,-4.775046667,90
99,0,0.907,0.89,0.21736,0.75,0,0.088,0,0.9685,0.55,0.465,0.6465,0,0.886,0.327534,-2.0214,67
100,1,0.709,0.27,0.87969,0.773333333,0,0.128,0,0.5545,0.95,0.34,0.3769,0,0.752,0.585406,-1.761333333,63
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Beta_true,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
-1,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,
-5,,,,,,,,,,,,,,,,,
-10,,,,,,,,,,,,,,,,,
