Object,feature 1,feature 2,Score,Rank
1,0,0.623,4.984,98
2,1,0.224,3.792,126
3,1,0.05,2.4,157
4,1,0.363,4.904,101
5,1,0.553,6.424,61
6,1,0.257,4.056,115
7,0,0.456,3.648,130
8,0,0.49,3.92,121
9,0,0.341,2.728,151
10,0,0.626,5.008,97
11,1,0.735,7.88,20
12,0,0.713,5.704,83
13,1,0.408,5.264,92
14,0,0.211,1.688,174
15,0,0.034,0.272,199
16,0,0.168,1.344,181
17,0,0.27,2.16,163
18,1,0.9,9.2,9
19,0,0.607,4.856,103
20,0,0.833,6.664,50
21,1,0.196,3.568,132
22,0,0.178,1.424,178
23,1,0.839,8.712,12
24,1,0.971,9.768,4
25,1,0.128,3.024,143
26,1,0.799,8.392,15
27,0,0.244,1.952,172
28,0,0.876,7.008,43
29,1,0.443,5.544,87
30,0,0.071,0.568,192
31,1,0.673,7.384,37
32,1,0.22,3.76,128
33,1,0.752,8.016,18
34,0,0.966,7.728,27
35,1,0.792,8.336,16
36,0,0.748,5.984,73
37,0,0.344,2.752,148
38,1,0.606,6.848,46
39,0,0.567,4.536,108
40,0,0.266,2.128,166
41,0,0.298,2.384,158
42,1,0.963,9.704,5
43,1,0.037,2.296,161
44,1,0.676,7.408,36
45,0,0.606,4.848,104
46,1,0.913,9.304,8
47,1,0.546,6.368,62
48,1,0.047,2.376,159
49,0,0.202,1.616,175
50,1,0.506,6.048,71
51,0,0.421,3.368,135
52,0,0.395,3.16,139
53,0,0.472,3.776,127
54,0,0.062,0.496,193
55,1,0.069,2.552,154
56,0,0.19,1.52,177
57,0,0.408,3.264,137
58,0,0.042,0.336,197
59,1,0.985,9.88,3
60,1,0.727,7.816,24
61,1,0.49,5.92,75
62,1,0.456,5.648,84
63,0,0.417,3.336,136
64,0,0.937,7.496,33
65,0,0.401,3.208,138
66,1,0.63,7.04,41
67,0,0.829,6.632,53
68,0,0.811,6.488,59
69,0,0.478,3.824,124
70,1,0.699,7.592,30
71,0,0.571,4.568,107
72,0,0.49,3.92,121
73,1,0.512,6.096,67
74,0,0.725,5.8,80
75,1,0.486,5.888,77
76,1,0.036,2.288,162
77,0,0.805,6.44,60
78,1,0.923,9.384,6
79,0,0.587,4.696,106
80,0,0.267,2.136,165
81,0,0.816,6.528,57
82,1,0.916,9.328,7
83,0,0.342,2.736,150
84,1,0.254,4.032,116
85,0,0.598,4.784,105
86,0,0.511,4.088,114
87,1,0.589,6.712,49
88,0,0.053,0.424,194
89,1,0.487,5.896,76
90,0,0.263,2.104,167
91,1,0.806,8.448,14
92,0,0.26,2.08,169
93,0,0.984,7.872,22
94,0,0.052,0.416,195
95,1,0.86,8.88,10
96,0,0.269,2.152,164
97,1,0.126,3.008,145
98,1,0.042,2.336,160
99,0,0.907,7.256,39
100,1,0.709,7.672,29
101,0,0.107,0.856,187
102,1,0.808,8.464,13
103,1,0.251,4.008,119
104,1,0.723,7.784,25
105,0,0.094,0.752,190
106,0,0.725,5.8,80
107,1,0.564,6.512,58
108,0,0.963,7.704,28
109,0,0.149,1.192,184
110,0,0.665,5.32,90
111,1,0.059,2.472,156
112,1,0.006,2.048,171
113,0,0.172,1.376,180
114,0,0.391,3.128,140
115,1,0.696,7.568,31
116,0,0.729,5.832,79
117,0,0.634,5.072,94
118,1,0.069,2.552,154
119,0,0.102,0.816,188
120,1,0.453,5.624,86
121,0,0.378,3.024,143
122,0,0.994,7.952,19
123,1,0.518,6.144,65
124,1,0.993,9.944,1
125,1,0.517,6.136,66
126,1,0.415,5.32,90
127,0,0.178,1.424,178
128,0,0.097,0.776,189
129,1,0.467,5.736,82
130,1,0.757,8.056,17
131,1,0.212,3.696,129
132,1,0.139,3.112,142
133,1,0.141,3.128,140
134,0,0.369,2.952,147
135,0,0.426,3.408,134
136,1,0.228,3.824,124
137,1,0.508,6.064,69
138,1,0.841,8.728,11
139,0,0.194,1.552,176
140,1,0.437,5.496,88
141,0,0.257,2.056,170
142,0,0.34,2.72,152
143,1,0.735,7.88,20
144,0,0.118,0.944,185
145,0,0.538,4.304,110
146,1,0.582,6.656,51
147,1,0.248,3.984,120
148,1,0.731,7.848,23
149,0,0.084,0.672,191
150,1,0.286,4.288,111
151,0,0.943,7.544,32
152,1,0.012,2.096,168
153,1,0.623,6.984,44
154,0,0.331,2.648,153
155,1,0.495,5.96,74
156,1,0.205,3.64,131
157,1,0.254,4.032,116
158,0,0.344,2.752,148
159,0,0.026,0.208,200
160,0,0.795,6.36,63
161,1,0.677,7.416,35
162,1,0.723,7.784,25
163,0,0.906,7.248,40
164,1,0.253,4.024,118
165,1,0.379,5.032,96
166,1,0.683,7.464,34
167,0,0.039,0.312,198
168,0,0.63,5.04,95
169,0,0.219,1.752,173
170,0,0.489,3.912,123
171,1,0.573,6.584,54
172,0,0.917,7.336,38
173,1,0.57,6.56,55
174,1,0.281,4.248,112
175,1,0.581,6.648,52
176,0,0.706,5.648,84
177,0,0.623,4.984,98
178,1,0.987,9.896,2
179,0,0.683,5.464,89
180,0,0.373,2.984,146
181,0,0.852,6.816,47
182,1,0.607,6.856,45
183,1,0.508,6.064,69
184,0,0.75,6,72
185,1,0.535,6.28,64
186,1,0.569,6.552,56
187,1,0.51,6.08,68
188,0,0.65,5.2,93
189,1,0.36,4.88,102
190,1,0.629,7.032,42
191,0,0.167,1.336,182
192,1,0.367,4.936,100
193,1,0.297,4.376,109
194,0,0.11,0.88,186
195,0,0.044,0.352,196
196,1,0.594,6.752,48
197,0,0.529,4.232,113
198,0,0.163,1.304,183
199,0,0.732,5.856,78
200,0,0.434,3.472,133
Beta_true,,,,
2,,,,
8,,,,
